epoch, epoch_loss,  precision,  recall,  f1
1,  75492.17727994919,  68.12565445026179,  54.74587680915517,  60.70728748716992
2,  33202.94166183472,  80.9800503583188,  70.36351396836082,  75.29941467807295
3,  19883.02589416504,  86.41345427059713,  76.96061932009425,  81.41356596047713
4,  13301.720775604248,  90.33385093167702,  78.32379670144732,  83.90120786010456
5,  9876.690039634705,  90.17175572519083,  79.51868057892966,  84.51082096226078
6,  7297.585800170898,  90.76335877862596,  80.04039044092897,  85.06528349132535
7,  6165.45569229126,  91.42857142857143,  79.16526422080108,  84.85613781906737
8,  5241.008979797363,  90.56285178236398,  81.23527431841131,  85.6458481192335
9,  4421.3927001953125,  91.71866137266024,  81.63917872770111,  86.38589618021547
10,  3914.617456436157,  91.73506394350068,  80.88185796028273,  85.9672658975047
11,  3412.99737739563,  91.50114591291062,  80.62941770447661,  85.72195383789587
12,  3027.7053775787354,  91.86356707317073,  81.13429821608887,  86.16621983914209
13,  2794.819911956787,  92.5883034163289,  80.73039380679906,  86.25370853187088
14,  2527.0715942382812,  91.65247018739353,  81.48771457421743,  86.271714922049
15,  2320.6765155792236,  91.12105950382391,  82.21137664086167,  86.4372290542334
16,  2124.300313949585,  91.92452830188678,  81.99259508582969,  86.6749688667497
17,  1935.6720848083496,  91.80112570356472,  82.34601144395826,  86.81689141234918
18,  1898.4033679962158,  91.50290099195209,  82.27869404240997,  86.64599025254763
19,  1783.0354042053223,  91.81697360926523,  81.38673847189499,  86.28780444285842
20,  1645.2928104400635,  90.89215868876886,  82.1272298889263,  86.28768455485809
21,  1661.4259338378906,  90.99774943735935,  81.65600807808818,  86.07415291821891
22,  1542.4904804229736,  91.97750702905341,  82.58162234937731,  87.02669149596524
23,  1442.2967834472656,  91.42592592592592,  83.08650286098957,  87.0569564450714
24,  1413.0766410827637,  91.47025813692481,  82.29552339279704,  86.64068036853297
25,  1396.0889434814453,  91.75353685778109,  82.95186805789297,  87.13098815626657
26,  1265.2888374328613,  90.78922934076138,  82.27869404240997,  86.32471086783792
27,  1185.1782875061035,  91.90718732314657,  81.99259508582969,  86.66725962821312
28,  1079.0615501403809,  91.78544636159039,  82.36284079434533,  86.81923008692566
29,  1109.1523876190186,  91.97891169271324,  82.21137664086167,  86.82129209988447
30,  1162.9761276245117,  92.51225952470766,  82.54796364860316,  87.24653148345784
31,  996.7759246826172,  92.64201296225696,  81.79064288118478,  86.87879871290667
32,  935.4778480529785,  92.28592983779706,  82.34601144395826,  87.03308431163288
33,  920.0057830810547,  91.51084517576665,  82.36284079434533,  86.69619131975199
34,  930.9751434326172,  92.42884250474384,  81.97576573544261,  86.88904744916161
35,  883.2374801635742,  92.18247208025743,  81.95893638505554,  86.7706013363029
36,  806.0196990966797,  92.56088280060882,  81.87478963312016,  86.89051616360064
37,  832.5143280029297,  91.65266106442577,  82.59845169976438,  86.89032486500841
38,  764.6144142150879,  92.37304134415707,  82.34601144395826,  87.07180354124033
39,  687.9464569091797,  92.89418091031304,  81.40356782228207,  86.77011391156158
40,  720.1182060241699,  92.1921921921922,  82.66576910131269,  87.16947648624667
41,  664.312744140625,  92.7750095822154,  81.47088522383036,  86.75627240143368
42,  692.8052825927734,  92.57218844984803,  82.00942443621676,  86.97126539353917
43,  673.9085273742676,  92.38329238329239,  82.2618646920229,  87.02928870292887
44,  680.2087020874023,  92.64118653736452,  81.99259508582969,  86.99223283635389
45,  657.3578262329102,  92.11915535444946,  82.22820599124874,  86.8931175529077
46,  602.6309547424316,  91.65272355456405,  82.96869740828005,  87.09477961310839
47,  609.1958427429199,  91.83061645118981,  82.48064624705486,  86.90486745278838
48,  588.6192321777344,  92.45820668693008,  81.90844833389431,  86.86417990362305
49,  607.1424865722656,  92.28453142642078,  82.53113429821609,  87.135749822317
50,  535.671459197998,  91.54275092936803,  82.88455065634467,  86.9987634693517
51,  580.263011932373,  91.98209957113555,  83.01918545944127,  87.27111897390536
52,  492.54651641845703,  92.35912129894938,  81.36990912150792,  86.51695446005189
53,  494.6829261779785,  92.39688272191599,  81.80747223157186,  86.78032669820584
54,  495.27257919311523,  92.20460551151378,  82.21137664086167,  86.92170818505339
55,  537.1695404052734,  92.57066462948816,  81.5718613261528,  86.72392198962247
56,  422.0499496459961,  91.95942137892166,  82.37967014473242,  86.9063470927652
57,  459.3177795410156,  92.58904634239755,  81.36990912150792,  86.61769974919385
58,  444.4929008483887,  91.27939270505462,  82.96869740828005,  86.92585735696024
59,  406.47159576416016,  92.05273069679849,  82.2618646920229,  86.88233202986137
60,  486.2963638305664,  92.46925260170293,  82.24503534163581,  87.05798521421572
61,  419.80188369750977,  91.70896785109983,  82.09357118815214,  86.63528993872657
62,  416.210506439209,  91.66201377256654,  82.88455065634467,  87.05258506407425
63,  389.36446380615234,  91.67757621095942,  82.49747559744193,  86.84560191336699
64,  385.3311195373535,  92.24674589700057,  82.29552339279704,  86.9874588632927
65,  401.4672546386719,  92.05633802816902,  82.49747559744193,  87.01517706576729
66,  387.06690216064453,  92.12997746055598,  82.54796364860316,  87.07615835256524
67,  391.94495010375977,  91.68690453951055,  82.59845169976438,  86.90571049136786
68,  361.4327049255371,  92.1151674821227,  82.37967014473242,  86.97583511016347
69,  365.00146865844727,  91.66355837374114,  82.71625715247391,  86.96036801132342
70,  352.8579750061035,  91.97148752579254,  82.514304947829,  86.98660516277832
71,  342.95727157592773,  92.69128283212791,  81.95893638505554,  86.99535548410147
72,  321.9467124938965,  92.7134724857685,  82.22820599124874,  87.1566179093828
